date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,68.14
1951-12-31,68.33,0.28
1952-12-31,68.52,0.28
1953-12-31,68.71,0.28
1954-12-31,68.9,0.28
1955-12-31,69.09,0.28
1956-12-31,69.28,0.28
1957-12-31,69.47,0.27
1958-12-31,69.66,0.27
1959-12-31,69.75,0.13
1960-12-31,69.84,0.13
1961-12-31,69.93,0.13
1962-12-31,70.02,0.13
1963-12-31,70.11,0.13
1964-12-31,70.16,0.07
1965-12-31,70.21,0.07
1966-12-31,70.26,0.07
1967-12-31,70.31,0.07
1968-12-31,70.36,0.07
1969-12-31,70.572,0.3
1970-12-31,70.784,0.3
1971-12-31,70.996,0.3
1972-12-31,71.208,0.3
1973-12-31,71.42,0.3
1974-12-31,71.786,0.51
1975-12-31,72.152,0.51
1976-12-31,72.518,0.51
1977-12-31,72.884,0.5
1978-12-31,73.25,0.5
1979-12-31,73.474,0.31
1980-12-31,73.698,0.3
1981-12-31,73.922,0.3
1982-12-31,74.146,0.3
1983-12-31,74.37,0.3
1984-12-31,74.474,0.14
1985-12-31,74.578,0.14
1986-12-31,74.682,0.14
1987-12-31,74.786,0.14
1988-12-31,74.89,0.14
1989-12-31,75.042,0.2
1990-12-31,75.194,0.2
1991-12-31,75.346,0.2
1992-12-31,75.498,0.2
1993-12-31,75.65,0.2
1994-12-31,75.814,0.22
1995-12-31,75.978,0.22
1996-12-31,76.142,0.22
1997-12-31,76.306,0.22
1998-12-31,76.47,0.21
1999-12-31,76.612,0.19
2000-12-31,76.754,0.19
2001-12-31,76.896,0.19
2002-12-31,77.038,0.18
2003-12-31,77.18,0.18
2004-12-31,77.382,0.26
2005-12-31,77.584,0.26
2006-12-31,77.786,0.26
2007-12-31,77.988,0.26
2008-12-31,78.19,0.26
2009-12-31,78.34,0.19
2010-12-31,78.49,0.19
2011-12-31,78.64,0.19
2012-12-31,78.79,0.19
2013-12-31,78.94,0.19
2014-12-31,78.914,-0.03
2015-12-31,78.888,-0.03
2016-12-31,78.862,-0.03
2017-12-31,78.836,-0.03
2018-12-31,78.81,-0.03
2019-12-31,78.87,0.08
2020-12-31,78.93,0.08
2021-12-31,78.99,0.08
2022-12-31,79.05,0.08
2023-12-31,79.11,0.08
2024-12-31,79.254,0.18
2025-12-31,79.398,0.18
2026-12-31,79.542,0.18
2027-12-31,79.686,0.18
2028-12-31,79.83,0.18
2029-12-31,80.056,0.28
2030-12-31,80.282,0.28
2031-12-31,80.508,0.28
2032-12-31,80.734,0.28
2033-12-31,80.96,0.28
2034-12-31,81.106,0.18
2035-12-31,81.252,0.18
2036-12-31,81.398,0.18
2037-12-31,81.544,0.18
2038-12-31,81.69,0.18
2039-12-31,81.834,0.18
2040-12-31,81.978,0.18
2041-12-31,82.122,0.18
2042-12-31,82.266,0.18
2043-12-31,82.41,0.18
2044-12-31,82.55,0.17
2045-12-31,82.69,0.17
2046-12-31,82.83,0.17
2047-12-31,82.97,0.17
2048-12-31,83.11,0.17
2049-12-31,83.24,0.16
2050-12-31,83.37,0.16
2051-12-31,83.5,0.16
2052-12-31,83.63,0.16
2053-12-31,83.76,0.16
2054-12-31,83.882,0.15
2055-12-31,84.004,0.15
2056-12-31,84.126,0.15
2057-12-31,84.248,0.15
2058-12-31,84.37,0.14
2059-12-31,84.484,0.14
2060-12-31,84.598,0.13
2061-12-31,84.712,0.13
2062-12-31,84.826,0.13
2063-12-31,84.94,0.13
2064-12-31,85.052,0.13
2065-12-31,85.164,0.13
2066-12-31,85.276,0.13
2067-12-31,85.388,0.13
2068-12-31,85.5,0.13
2069-12-31,85.606,0.12
2070-12-31,85.712,0.12
2071-12-31,85.818,0.12
2072-12-31,85.924,0.12
2073-12-31,86.03,0.12
2074-12-31,86.132,0.12
2075-12-31,86.234,0.12
2076-12-31,86.336,0.12
2077-12-31,86.438,0.12
2078-12-31,86.54,0.12
2079-12-31,86.642,0.12
2080-12-31,86.744,0.12
2081-12-31,86.846,0.12
2082-12-31,86.948,0.12
2083-12-31,87.05,0.12
2084-12-31,87.152,0.12
2085-12-31,87.254,0.12
2086-12-31,87.356,0.12
2087-12-31,87.458,0.12
2088-12-31,87.56,0.12
2089-12-31,87.662,0.12
2090-12-31,87.764,0.12
2091-12-31,87.866,0.12
2092-12-31,87.968,0.12
2093-12-31,88.07,0.12
2094-12-31,88.172,0.12
2095-12-31,88.274,0.12
2096-12-31,88.376,0.12
2097-12-31,88.478,0.12
2098-12-31,88.58,0.12
2099-12-31,88.682,0.12
2100-12-31,88.784,0.12
